Timestamp,Capacity,Occupancy
2016-10-04 07:59:00,577,61
2016-10-04 07:59:00,1200,237
2016-10-04 07:59:00,687,264
2016-10-04 07:59:00,485,249
2016-10-04 07:59:00,1920,614
2016-10-04 07:59:00,470,117
2016-10-04 07:59:00,690,178
2016-10-04 07:59:00,1322,445
2016-10-04 07:59:00,2009,709
2016-10-04 07:59:00,2803,195
2016-10-04 07:59:00,387,120
2016-10-04 07:59:00,3883,1081
2016-10-04 07:59:00,2937,547
2016-10-04 07:59:00,3103,588
2016-10-04 08:25:00,1322,478
2016-10-04 08:25:00,485,267
2016-10-04 08:25:00,2009,780
2016-10-04 08:25:00,2937,665
2016-10-04 08:25:00,3883,1467
2016-10-04 08:25:00,387,129
2016-10-04 08:25:00,687,302
2016-10-04 08:25:00,470,174
2016-10-04 08:25:00,3103,678
2016-10-04 08:25:00,690,269
2016-10-04 08:25:00,2803,238
2016-10-04 08:25:00,1920,761
2016-10-04 08:25:00,1200,315
2016-10-04 08:25:00,577,64
2016-10-04 08:59:00,1322,518
2016-10-04 08:59:00,387,155
2016-10-04 08:59:00,2803,323
2016-10-04 08:59:00,1920,958
2016-10-04 08:59:00,3883,2007
2016-10-04 08:59:00,690,415
2016-10-04 08:59:00,485,278
2016-10-04 08:59:00,470,269
2016-10-04 08:59:00,687,346
2016-10-04 08:59:00,577,80
2016-10-04 08:59:00,3103,792
2016-10-04 08:59:00,1200,441
2016-10-04 08:59:00,2937,848
2016-10-04 08:59:00,2009,864
2016-10-04 09:32:00,470,351
2016-10-04 09:32:00,387,204
2016-10-04 09:32:00,2937,1036
2016-10-04 09:32:00,1322,590
2016-10-04 09:32:00,690,530
2016-10-04 09:32:00,3103,932
2016-10-04 09:32:00,2803,420
2016-10-04 09:32:00,2009,1004
2016-10-04 09:32:00,577,107
2016-10-04 09:32:00,1920,1121
2016-10-04 09:32:00,3883,2502
2016-10-04 09:32:00,687,414
2016-10-04 09:32:00,1200,552
2016-10-04 09:32:00,485,302
2016-10-04 09:59:00,1200,638
2016-10-04 09:59:00,1920,1254
2016-10-04 09:59:00,1322,657
2016-10-04 09:59:00,470,397
2016-10-04 09:59:00,3103,1052
2016-10-04 09:59:00,2803,476
2016-10-04 09:59:00,387,236
2016-10-04 09:59:00,2009,1142
2016-10-04 09:59:00,2937,1163
2016-10-04 09:59:00,690,600
2016-10-04 09:59:00,485,327
2016-10-04 09:59:00,577,150
2016-10-04 09:59:00,3883,2802
2016-10-04 09:59:00,687,485
2016-10-04 10:26:00,1322,715
2016-10-04 10:26:00,470,430
2016-10-04 10:26:00,3103,1142
2016-10-04 10:26:00,690,642
2016-10-04 10:26:00,577,177
2016-10-04 10:26:00,2009,1245
2016-10-04 10:26:00,2803,525
2016-10-04 10:26:00,1200,686
2016-10-04 10:26:00,2937,1257
2016-10-04 10:26:00,3883,3035
2016-10-04 10:26:00,1920,1324
2016-10-04 10:26:00,687,530
2016-10-04 10:26:00,485,351
2016-10-04 10:26:00,387,264
2016-10-04 10:59:00,1920,1387
2016-10-04 10:59:00,1200,729
2016-10-04 10:59:00,2937,1354
2016-10-04 10:59:00,3103,1210
2016-10-04 10:59:00,3883,3169
2016-10-04 10:59:00,687,573
2016-10-04 10:59:00,690,675
2016-10-04 10:59:00,485,371
2016-10-04 10:59:00,1322,791
2016-10-04 10:59:00,577,219
2016-10-04 10:59:00,387,308
2016-10-04 10:59:00,2803,574
2016-10-04 10:59:00,470,458
2016-10-04 10:59:00,2009,1364
2016-10-04 11:25:00,1920,1428
2016-10-04 11:25:00,1200,765
2016-10-04 11:25:00,577,247
2016-10-04 11:25:00,1322,820
2016-10-04 11:25:00,2937,1369
2016-10-04 11:25:00,2009,1424
2016-10-04 11:25:00,470,464
2016-10-04 11:25:00,3103,1241
2016-10-04 11:25:00,3883,3221
2016-10-04 11:25:00,687,604
2016-10-04 11:25:00,2803,588
2016-10-04 11:25:00,387,324
2016-10-04 11:25:00,485,373
2016-10-04 11:25:00,690,672
2016-10-04 11:59:00,3103,1288
2016-10-04 11:59:00,3883,3248
2016-10-04 11:59:00,577,259
2016-10-04 11:59:00,2937,1390
2016-10-04 11:59:00,2803,605
2016-10-04 11:59:00,387,332
2016-10-04 11:59:00,2009,1470
2016-10-04 11:59:00,1322,836
2016-10-04 11:59:00,690,677
2016-10-04 11:59:00,1920,1447
2016-10-04 11:59:00,485,381
2016-10-04 11:59:00,1200,771
2016-10-04 11:59:00,687,634
2016-10-04 11:59:00,470,460
2016-10-04 12:29:00,1920,1460
2016-10-04 12:29:00,3883,3251
2016-10-04 12:29:00,577,266
2016-10-04 12:29:00,2937,1397
2016-10-04 12:29:00,1200,779
2016-10-04 12:29:00,2009,1484
2016-10-04 12:29:00,470,464
2016-10-04 12:29:00,2803,604
2016-10-04 12:29:00,690,683
2016-10-04 12:29:00,387,334
2016-10-04 12:29:00,687,648
2016-10-04 12:29:00,3103,1297
2016-10-04 12:29:00,1322,836
2016-10-04 12:29:00,485,379
2016-10-04 12:56:00,485,374
2016-10-04 13:02:00,1920,1448
2016-10-04 13:02:00,1322,810
2016-10-04 13:02:00,3883,3232
2016-10-04 13:02:00,577,269
2016-10-04 13:02:00,3103,1288
